"Time","memory_usage"
2023-06-12 12:20:05,37.1%
2023-06-12 12:20:10,37.1%
2023-06-12 12:20:15,37.1%
2023-06-12 12:20:20,37.6%
2023-06-12 12:20:25,38.9%
2023-06-12 12:20:30,40.1%
2023-06-12 12:20:35,40.1%
2023-06-12 12:20:40,40.1%
2023-06-12 12:20:45,38.8%
2023-06-12 12:20:50,38.1%
2023-06-12 12:20:55,38.1%
2023-06-12 12:21:00,38.1%
2023-06-12 12:21:05,38.1%
2023-06-12 12:21:10,38.1%
2023-06-12 12:21:15,38.1%
2023-06-12 12:21:20,38.5%
2023-06-12 12:21:25,38.5%
2023-06-12 12:21:30,38.3%
2023-06-12 12:21:35,38.5%
2023-06-12 12:21:40,38.4%
2023-06-12 12:21:45,38.4%
2023-06-12 12:21:50,38.4%
2023-06-12 12:21:55,38.4%
2023-06-12 12:22:00,38.4%
2023-06-12 12:22:05,38.4%
2023-06-12 12:22:10,38.4%
2023-06-12 12:22:15,38.0%
2023-06-12 12:22:20,38.0%
2023-06-12 12:22:25,38.0%
2023-06-12 12:22:30,38.0%
2023-06-12 12:22:35,38.0%
2023-06-12 12:22:40,38.0%
2023-06-12 12:22:45,38.0%
2023-06-12 12:22:50,37.7%
2023-06-12 12:22:55,37.7%
2023-06-12 12:23:00,37.7%
2023-06-12 12:23:05,37.7%
2023-06-12 12:23:10,37.7%
2023-06-12 12:23:15,38.1%
2023-06-12 12:23:20,38.1%
2023-06-12 12:23:25,38.1%
2023-06-12 12:23:30,38.1%
2023-06-12 12:23:35,38.1%
2023-06-12 12:23:40,38.1%
2023-06-12 12:23:45,38.5%
2023-06-12 12:23:50,38.3%
2023-06-12 12:23:55,38.3%
2023-06-12 12:24:00,38.3%
2023-06-12 12:24:05,38.3%
2023-06-12 12:24:10,38.3%
2023-06-12 12:24:15,38.3%
2023-06-12 12:24:20,40.5%
2023-06-12 12:24:25,38.9%
2023-06-12 12:24:30,38.7%
2023-06-12 12:24:35,38.7%
2023-06-12 12:24:40,38.5%
2023-06-12 12:24:45,38.3%
2023-06-12 12:24:50,38.3%
