"Time","tps","tps_error"
2023-06-12 12:07:40,3.60 req/s,1.20 req/s
2023-06-12 12:07:45,3.80 req/s,0.600 req/s
2023-06-12 12:07:50,2.20 req/s,0 req/s
2023-06-12 12:07:55,2.40 req/s,0 req/s
2023-06-12 12:08:00,1.60 req/s,0 req/s
2023-06-12 12:08:05,2.40 req/s,0 req/s
2023-06-12 12:08:10,2.20 req/s,0 req/s
2023-06-12 12:08:15,2 req/s,0 req/s
2023-06-12 12:08:20,2.40 req/s,0 req/s
2023-06-12 12:08:25,2.40 req/s,0 req/s
2023-06-12 12:08:30,2.20 req/s,0 req/s
2023-06-12 12:08:35,1.80 req/s,0 req/s
2023-06-12 12:08:40,2.40 req/s,0 req/s
2023-06-12 12:08:45,2.40 req/s,0 req/s
2023-06-12 12:08:50,2 req/s,0 req/s
2023-06-12 12:08:55,2.60 req/s,0 req/s
2023-06-12 12:09:00,2 req/s,0 req/s
2023-06-12 12:09:05,2 req/s,0 req/s
2023-06-12 12:09:10,2.20 req/s,0 req/s
2023-06-12 12:09:15,2.60 req/s,0 req/s
2023-06-12 12:09:20,2 req/s,0 req/s
2023-06-12 12:09:25,2.20 req/s,0 req/s
2023-06-12 12:09:30,2.20 req/s,0 req/s
2023-06-12 12:09:35,1.80 req/s,0 req/s
2023-06-12 12:09:40,0.800 req/s,0 req/s
2023-06-12 12:09:45,0.600 req/s,0 req/s
2023-06-12 12:09:50,0.600 req/s,0 req/s
2023-06-12 12:09:55,0.400 req/s,0 req/s
2023-06-12 12:10:00,0.400 req/s,0 req/s
2023-06-12 12:10:05,0.600 req/s,0 req/s
2023-06-12 12:10:10,0.600 req/s,0 req/s
2023-06-12 12:10:15,0.400 req/s,0 req/s
2023-06-12 12:10:20,0.400 req/s,0 req/s
2023-06-12 12:10:25,0.600 req/s,0 req/s
2023-06-12 12:10:30,0.600 req/s,0 req/s
2023-06-12 12:10:35,0.200 req/s,0 req/s
2023-06-12 12:10:40,0.600 req/s,0 req/s
2023-06-12 12:10:45,0.600 req/s,0 req/s
2023-06-12 12:10:50,0.600 req/s,0 req/s
2023-06-12 12:10:55,0.400 req/s,0 req/s
2023-06-12 12:11:00,0.600 req/s,0 req/s
2023-06-12 12:11:05,0.400 req/s,0 req/s
2023-06-12 12:11:10,0.400 req/s,0 req/s
2023-06-12 12:11:15,0.400 req/s,0 req/s
2023-06-12 12:11:20,0.600 req/s,0 req/s
2023-06-12 12:11:25,0.600 req/s,0 req/s
2023-06-12 12:11:30,0.600 req/s,0 req/s
2023-06-12 12:11:35,0.400 req/s,0 req/s
