"Time","bandwidth_inbound","bandwidth_outbound"
2023-05-25 18:37:50,19.3 GB/s,16.6 GB/s
2023-05-25 18:37:55,18.8 GB/s,16.0 GB/s
2023-05-25 18:38:00,4.05 GB/s,3.68 GB/s
2023-05-25 18:38:05,14.1 GB/s,12.1 GB/s
2023-05-25 18:38:10,8.79 GB/s,7.62 GB/s
2023-05-25 18:38:15,11.2 GB/s,9.58 GB/s
2023-05-25 18:38:20,6.31 GB/s,5.55 GB/s
2023-05-25 18:38:25,9.42 GB/s,8.21 GB/s
2023-05-25 18:38:30,14.6 GB/s,12.6 GB/s
2023-05-25 18:38:35,13.2 GB/s,11.4 GB/s
2023-05-25 18:38:40,14.1 GB/s,12.2 GB/s
2023-05-25 18:38:45,18.9 GB/s,16.4 GB/s
2023-05-25 18:38:50,9.27 GB/s,7.85 GB/s
2023-05-25 18:38:55,15.9 GB/s,13.6 GB/s
2023-05-25 18:39:00,11.9 GB/s,10.2 GB/s
2023-05-25 18:39:05,15.3 GB/s,13.1 GB/s
2023-05-25 18:39:10,13.4 GB/s,11.5 GB/s
2023-05-25 18:39:15,4.23 GB/s,3.80 GB/s
2023-05-25 18:39:20,16.7 GB/s,14.3 GB/s
2023-05-25 18:39:25,7.02 GB/s,6.23 GB/s
2023-05-25 18:39:30,6.69 GB/s,5.81 GB/s
2023-05-25 18:39:35,16.0 GB/s,14.1 GB/s
2023-05-25 18:39:40,15.0 GB/s,12.5 GB/s
2023-05-25 18:39:45,8.31 GB/s,7.23 GB/s
2023-05-25 18:39:50,6.71 GB/s,6.45 GB/s
2023-05-25 18:39:55,18.3 GB/s,15.3 GB/s
2023-05-25 18:40:00,17.0 GB/s,15.1 GB/s
2023-05-25 18:40:05,16.3 GB/s,14.0 GB/s
2023-05-25 18:40:10,6.49 GB/s,5.92 GB/s
2023-05-25 18:40:15,5.28 GB/s,6.49 GB/s
2023-05-25 18:40:20,14.8 GB/s,12.6 GB/s
2023-05-25 18:40:25,2.47 GB/s,2.20 GB/s
2023-05-25 18:40:30,2.74 GB/s,3.86 GB/s
2023-05-25 18:40:35,1.55 GB/s,1.78 GB/s
2023-05-25 18:40:40,8.63 GB/s,10.5 GB/s
2023-05-25 18:40:45,6.00 GB/s,4.64 GB/s
2023-05-25 18:40:50,4.64 GB/s,5.22 GB/s
2023-05-25 18:40:55,2.44 GB/s,3.52 GB/s
2023-05-25 18:41:00,2.19 GB/s,2.75 GB/s
2023-05-25 18:41:05,13.1 GB/s,11.8 GB/s
2023-05-25 18:41:10,10.3 GB/s,8.49 GB/s
2023-05-25 18:41:15,6.23 GB/s,5.64 GB/s
2023-05-25 18:41:20,1.36 GB/s,1.23 GB/s
2023-05-25 18:41:25,7.86 GB/s,8.13 GB/s
2023-05-25 18:41:30,9.44 GB/s,8.39 GB/s
2023-05-25 18:41:35,2.38 GB/s,3.58 GB/s
2023-05-25 18:41:40,14.7 GB/s,14.3 GB/s
2023-05-25 18:41:45,796 MB/s,467 MB/s
2023-05-25 18:41:50,1.08 GB/s,1.02 GB/s
2023-05-25 18:41:55,370 MB/s,390 MB/s
2023-05-25 18:42:00,10.6 GB/s,9.05 GB/s
2023-05-25 18:42:05,3.57 GB/s,3.16 GB/s
2023-05-25 18:42:10,4.66 GB/s,3.96 GB/s
2023-05-25 18:42:15,43.7 MB/s,38.1 MB/s
2023-05-25 18:42:20,7.13 GB/s,6.21 GB/s
2023-05-25 18:42:25,3.87 GB/s,3.28 GB/s
2023-05-25 18:42:30,3.32 GB/s,2.87 GB/s
2023-05-25 18:42:35,6.76 GB/s,6.14 GB/s
2023-05-25 18:42:40,4.27 GB/s,3.39 GB/s
2023-05-25 18:42:45,10.2 GB/s,8.65 GB/s
2023-05-25 18:42:50,2.85 GB/s,2.51 GB/s
2023-05-25 18:42:55,623 MB/s,579 MB/s
2023-05-25 18:43:00,2.81 GB/s,2.46 GB/s
2023-05-25 18:43:05,5.06 GB/s,4.40 GB/s
2023-05-25 18:43:10,2.87 GB/s,2.45 GB/s
2023-05-25 18:43:15,731 MB/s,753 MB/s
2023-05-25 18:43:20,3.28 GB/s,2.86 GB/s
2023-05-25 18:43:25,6.19 GB/s,5.39 GB/s
2023-05-25 18:43:30,4.70 GB/s,3.99 GB/s
2023-05-25 18:43:35,5.58 GB/s,4.79 GB/s
2023-05-25 18:43:40,5.17 GB/s,4.46 GB/s
2023-05-25 18:43:45,3.63 GB/s,3.21 GB/s
2023-05-25 18:43:50,194 MB/s,158 MB/s
2023-05-25 18:43:55,8.29 GB/s,7.76 GB/s
2023-05-25 18:44:00,7.32 GB/s,5.57 GB/s
2023-05-25 18:44:05,5.57 GB/s,4.75 GB/s
2023-05-25 18:44:10,3.19 GB/s,2.79 GB/s
2023-05-25 18:44:15,430 MB/s,410 MB/s
2023-05-25 18:44:20,2.45 GB/s,2.15 GB/s
2023-05-25 18:44:25,1.35 GB/s,1.28 GB/s
2023-05-25 18:44:30,2.91 GB/s,2.55 GB/s
2023-05-25 18:44:35,394 MB/s,381 MB/s
2023-05-25 18:44:40,3.42 GB/s,3.02 GB/s
2023-05-25 18:44:45,5.84 GB/s,5.04 GB/s
2023-05-25 18:44:50,3.37 GB/s,2.98 GB/s
2023-05-25 18:44:55,2.75 GB/s,2.31 GB/s
2023-05-25 18:45:00,7.53 GB/s,6.41 GB/s
2023-05-25 18:45:05,595 MB/s,614 MB/s
2023-05-25 18:45:10,3.14 GB/s,2.67 GB/s
2023-05-25 18:45:15,5.15 GB/s,4.80 GB/s
2023-05-25 18:45:20,9.22 GB/s,7.71 GB/s
2023-05-25 18:45:25,17.1 GB/s,14.7 GB/s
2023-05-25 18:45:30,4.67 GB/s,5.18 GB/s
2023-05-25 18:45:35,15.7 GB/s,15.4 GB/s
2023-05-25 18:45:40,8.27 GB/s,6.68 GB/s
2023-05-25 18:45:45,10.1 GB/s,9.41 GB/s
2023-05-25 18:45:50,2.96 GB/s,2.08 GB/s
2023-05-25 18:45:55,3.79 GB/s,3.63 GB/s
2023-05-25 18:46:00,2.43 GB/s,3.96 GB/s
2023-05-25 18:46:05,4.41 GB/s,4.98 GB/s
2023-05-25 18:46:10,706 MB/s,649 MB/s
2023-05-25 18:46:15,4.27 GB/s,5.09 GB/s
2023-05-25 18:46:20,975 MB/s,969 MB/s
2023-05-25 18:46:25,4.71 GB/s,5.18 GB/s
2023-05-25 18:46:30,9.19 GB/s,8.63 GB/s
2023-05-25 18:46:35,2.39 GB/s,3.73 GB/s
2023-05-25 18:46:40,17.4 GB/s,15.9 GB/s
2023-05-25 18:46:45,1.72 GB/s,2.31 GB/s
2023-05-25 18:46:50,1.04 GB/s,977 MB/s
2023-05-25 18:46:55,16.1 GB/s,15.6 GB/s
2023-05-25 18:47:00,11.8 GB/s,9.36 GB/s
2023-05-25 18:47:05,16.7 GB/s,14.5 GB/s
2023-05-25 18:47:10,9.03 GB/s,8.14 GB/s
2023-05-25 18:47:15,3.95 GB/s,3.69 GB/s
2023-05-25 18:47:20,1.39 GB/s,1.32 GB/s
2023-05-25 18:47:25,2.63 GB/s,3.50 GB/s
2023-05-25 18:47:30,3.31 GB/s,3.02 GB/s
2023-05-25 18:47:35,10.0 GB/s,9.98 GB/s
2023-05-25 18:47:40,11.9 GB/s,11.0 GB/s
2023-05-25 18:47:45,2.77 GB/s,4.07 GB/s
2023-05-25 18:47:50,3.74 GB/s,5.27 GB/s
2023-05-25 18:47:55,4.29 GB/s,3.76 GB/s
2023-05-25 18:48:00,11.1 GB/s,9.55 GB/s
2023-05-25 18:48:05,6.73 GB/s,5.92 GB/s
2023-05-25 18:48:10,4.56 GB/s,4.04 GB/s
2023-05-25 18:48:15,8.74 GB/s,7.61 GB/s
2023-05-25 18:48:20,4.03 GB/s,3.63 GB/s
2023-05-25 18:48:25,18.2 GB/s,15.6 GB/s
2023-05-25 18:48:30,5.50 GB/s,4.74 GB/s
2023-05-25 18:48:35,13.7 GB/s,12.3 GB/s
2023-05-25 18:48:40,5.92 GB/s,4.77 GB/s
2023-05-25 18:48:45,6.16 GB/s,5.39 GB/s
2023-05-25 18:48:50,4.84 GB/s,4.97 GB/s
2023-05-25 18:48:55,14.6 GB/s,11.8 GB/s
2023-05-25 18:49:00,8.97 GB/s,7.75 GB/s
2023-05-25 18:49:05,9.04 GB/s,7.88 GB/s
2023-05-25 18:49:10,7.99 GB/s,6.92 GB/s
2023-05-25 18:49:15,6.87 GB/s,6.08 GB/s
2023-05-25 18:49:20,3.40 GB/s,2.93 GB/s
2023-05-25 18:49:25,12.9 GB/s,11.0 GB/s
2023-05-25 18:49:30,7.62 GB/s,6.62 GB/s
2023-05-25 18:49:35,8.87 GB/s,7.73 GB/s
2023-05-25 18:49:40,2.35 GB/s,2.77 GB/s
2023-05-25 18:49:45,7.63 GB/s,5.93 GB/s
2023-05-25 18:49:50,2.70 GB/s,2.30 GB/s
2023-05-25 18:49:55,344 MB/s,334 MB/s
2023-05-25 18:50:00,2.78 GB/s,2.37 GB/s
2023-05-25 18:50:05,2.57 GB/s,2.19 GB/s
2023-05-25 18:50:10,129 MB/s,157 MB/s
2023-05-25 18:50:15,3.12 GB/s,2.67 GB/s
2023-05-25 18:50:20,258 MB/s,282 MB/s
2023-05-25 18:50:25,402 MB/s,360 MB/s
2023-05-25 18:50:30,2.39 GB/s,2.09 GB/s
2023-05-25 18:50:35,297 MB/s,256 MB/s
2023-05-25 18:50:40,133 MB/s,144 MB/s
2023-05-25 18:50:45,2.36 GB/s,2.01 GB/s
2023-05-25 18:50:50,507 MB/s,511 MB/s
2023-05-25 18:50:55,2.36 GB/s,2.01 GB/s
