"Time","total-req-rate","ok-req-rate","error-req-rate"
2023-04-18 15:48:20,1.71 req/s,1.71 req/s,0 req/s
2023-04-18 15:48:25,1.67 req/s,1.67 req/s,0 req/s
2023-04-18 15:48:30,1.58 req/s,1.58 req/s,0 req/s
2023-04-18 15:48:35,1.51 req/s,1.51 req/s,0 req/s
2023-04-18 15:48:40,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:48:45,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:48:50,1.40 req/s,1.40 req/s,0 req/s
2023-04-18 15:48:55,1.42 req/s,1.42 req/s,0 req/s
2023-04-18 15:49:00,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 15:49:05,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:49:10,1.42 req/s,1.42 req/s,0 req/s
2023-04-18 15:49:15,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 15:49:20,1.42 req/s,1.42 req/s,0 req/s
2023-04-18 15:49:25,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:49:30,1.40 req/s,1.40 req/s,0 req/s
2023-04-18 15:49:35,1.42 req/s,1.42 req/s,0 req/s
2023-04-18 15:49:40,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:49:45,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 15:49:50,1.42 req/s,1.42 req/s,0 req/s
2023-04-18 15:49:55,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 15:50:00,1.38 req/s,1.38 req/s,0 req/s
2023-04-18 15:50:05,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 15:50:10,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 15:50:15,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 15:50:20,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:50:25,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 15:50:30,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 15:50:35,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:50:40,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:50:45,1.47 req/s,1.47 req/s,0 req/s
2023-04-18 15:50:50,1.42 req/s,1.42 req/s,0 req/s
2023-04-18 15:50:55,1.47 req/s,1.47 req/s,0 req/s
2023-04-18 15:51:00,1.42 req/s,1.42 req/s,0 req/s
2023-04-18 15:51:05,1.40 req/s,1.40 req/s,0 req/s
2023-04-18 15:51:10,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:51:15,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:51:20,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:51:25,1.42 req/s,1.42 req/s,0 req/s
2023-04-18 15:51:30,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:51:35,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:51:40,1.40 req/s,1.40 req/s,0 req/s
2023-04-18 15:51:45,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:51:50,1.42 req/s,1.42 req/s,0 req/s
2023-04-18 15:51:55,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:52:00,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:52:05,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:52:10,1.44 req/s,1.44 req/s,0 req/s
