"Time","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","vetha44c48b receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","vetha44c48b transmit"
2023-04-18 15:35:40,5.99 MB/s,0 kB/s,23.6 kB/s,3.87 MB/s,0 kB/s,6.04 MB/s,3.76 MB/s,0 kB/s,19.2 kB/s,7.95 MB/s,0 kB/s,3.76 MB/s
2023-04-18 15:35:45,2.88 MB/s,0 kB/s,0 kB/s,1.78 MB/s,0 kB/s,2.91 MB/s,1.68 MB/s,0 kB/s,0 kB/s,4.81 MB/s,0 kB/s,1.68 MB/s
2023-04-18 15:35:50,122 MB/s,0 kB/s,58.8 kB/s,139 MB/s,0 kB/s,127 MB/s,139 MB/s,0 kB/s,58.8 kB/s,129 MB/s,0 kB/s,139 MB/s
2023-04-18 15:35:55,121 MB/s,0 kB/s,98 kB/s,82.1 MB/s,0 kB/s,124 MB/s,82.0 MB/s,0 kB/s,98 kB/s,126 MB/s,0 kB/s,82.0 MB/s
2023-04-18 15:36:00,1.10 GB/s,0 kB/s,50.4 kB/s,686 MB/s,0 kB/s,1.10 GB/s,686 MB/s,0 kB/s,50 kB/s,1.10 GB/s,0 kB/s,686 MB/s
2023-04-18 15:36:05,880 MB/s,0 kB/s,0 kB/s,539 MB/s,0 kB/s,881 MB/s,539 MB/s,0 kB/s,0 kB/s,882 MB/s,0 kB/s,539 MB/s
2023-04-18 15:36:10,1.10 GB/s,0 kB/s,22.8 kB/s,720 MB/s,0 kB/s,1.10 GB/s,720 MB/s,0 kB/s,21.6 kB/s,1.11 GB/s,0 kB/s,720 MB/s
2023-04-18 15:36:15,2.85 MB/s,0 kB/s,89.6 kB/s,1.87 MB/s,0 kB/s,2.89 MB/s,1.76 MB/s,0 kB/s,70.8 kB/s,4.80 MB/s,0 kB/s,1.76 MB/s
2023-04-18 15:36:20,934 MB/s,0 kB/s,23.2 kB/s,571 MB/s,0 kB/s,935 MB/s,571 MB/s,0 kB/s,19.2 kB/s,937 MB/s,0 kB/s,571 MB/s
2023-04-18 15:36:25,1.98 GB/s,0 kB/s,0 kB/s,1.21 GB/s,0 kB/s,1.98 GB/s,1.21 GB/s,0 kB/s,0 kB/s,1.99 GB/s,0 kB/s,1.21 GB/s
2023-04-18 15:36:30,3.49 MB/s,0 kB/s,113 kB/s,2.19 MB/s,0 kB/s,3.52 MB/s,2.08 MB/s,0 kB/s,576 kB/s,5.43 MB/s,0 kB/s,2.08 MB/s
2023-04-18 15:36:35,104 MB/s,0 kB/s,0 kB/s,131 MB/s,0 kB/s,108 MB/s,131 MB/s,0 kB/s,0 kB/s,110 MB/s,0 kB/s,131 MB/s
2023-04-18 15:36:40,274 MB/s,0 kB/s,0 kB/s,214 MB/s,0 kB/s,283 MB/s,214 MB/s,0 kB/s,0 kB/s,285 MB/s,0 kB/s,214 MB/s
2023-04-18 15:36:45,4.80 MB/s,0 kB/s,0 kB/s,3.08 MB/s,0 kB/s,4.84 MB/s,2.97 MB/s,0 kB/s,0 kB/s,6.75 MB/s,0 kB/s,2.97 MB/s
2023-04-18 15:36:50,113 MB/s,0 kB/s,0 kB/s,104 MB/s,0 kB/s,117 MB/s,103 MB/s,0 kB/s,0 kB/s,119 MB/s,0 kB/s,103 MB/s
2023-04-18 15:36:55,51.7 MB/s,0 kB/s,0 kB/s,74.0 MB/s,0 kB/s,54.0 MB/s,73.9 MB/s,0 kB/s,0 kB/s,55.9 MB/s,0 kB/s,73.9 MB/s
2023-04-18 15:37:00,64.6 MB/s,0 kB/s,11.2 kB/s,30.9 MB/s,0 kB/s,66.1 MB/s,30.8 MB/s,0 kB/s,10.8 kB/s,68.0 MB/s,0 kB/s,30.8 MB/s
2023-04-18 15:37:05,1.13 GB/s,0 kB/s,0 kB/s,707 MB/s,0 kB/s,1.13 GB/s,707 MB/s,0 kB/s,0 kB/s,1.13 GB/s,0 kB/s,707 MB/s
2023-04-18 15:37:10,843 MB/s,0 kB/s,11.2 kB/s,515 MB/s,0 kB/s,844 MB/s,515 MB/s,0 kB/s,10.8 kB/s,846 MB/s,0 kB/s,515 MB/s
2023-04-18 15:37:15,1.07 GB/s,0 kB/s,79.2 kB/s,653 MB/s,0 kB/s,1.07 GB/s,653 MB/s,0 kB/s,68.4 kB/s,1.07 GB/s,0 kB/s,653 MB/s
2023-04-18 15:37:20,4.11 GB/s,0 kB/s,0 kB/s,2.68 GB/s,0 kB/s,4.12 GB/s,2.68 GB/s,0 kB/s,0 kB/s,4.12 GB/s,0 kB/s,2.68 GB/s
2023-04-18 15:37:25,3.16 GB/s,0 kB/s,11.6 kB/s,3.14 GB/s,0 kB/s,3.17 GB/s,3.14 GB/s,0 kB/s,10.8 kB/s,3.17 GB/s,0 kB/s,3.14 GB/s
2023-04-18 15:37:30,132 MB/s,0 kB/s,0 kB/s,733 MB/s,0 kB/s,139 MB/s,733 MB/s,0 kB/s,0 kB/s,141 MB/s,0 kB/s,733 MB/s
2023-04-18 15:37:35,1.21 GB/s,0 kB/s,11.2 kB/s,1.38 GB/s,0 kB/s,1.22 GB/s,1.38 GB/s,0 kB/s,10.8 kB/s,1.22 GB/s,0 kB/s,1.38 GB/s
2023-04-18 15:37:40,197 MB/s,0 kB/s,11.2 kB/s,820 MB/s,0 kB/s,208 MB/s,820 MB/s,0 kB/s,10.8 kB/s,209 MB/s,0 kB/s,820 MB/s
2023-04-18 15:37:45,300 MB/s,0 kB/s,0 kB/s,266 MB/s,0 kB/s,310 MB/s,266 MB/s,0 kB/s,0 kB/s,312 MB/s,0 kB/s,266 MB/s
2023-04-18 15:37:50,308 MB/s,0 kB/s,0 kB/s,254 MB/s,0 kB/s,319 MB/s,254 MB/s,0 kB/s,0 kB/s,321 MB/s,0 kB/s,254 MB/s
2023-04-18 15:37:55,1.28 GB/s,0 kB/s,0 kB/s,854 MB/s,0 kB/s,1.29 GB/s,854 MB/s,0 kB/s,0 kB/s,1.29 GB/s,0 kB/s,854 MB/s
2023-04-18 15:38:00,178 MB/s,0 kB/s,22.4 kB/s,129 MB/s,0 kB/s,185 MB/s,129 MB/s,0 kB/s,21.6 kB/s,186 MB/s,0 kB/s,129 MB/s
2023-04-18 15:38:05,72.4 MB/s,0 kB/s,34.4 kB/s,82.1 MB/s,0 kB/s,76.3 MB/s,82.0 MB/s,0 kB/s,19.2 kB/s,78.2 MB/s,0 kB/s,82.0 MB/s
2023-04-18 15:38:10,1.23 GB/s,0 kB/s,12.6 kB/s,881 MB/s,0 kB/s,1.24 GB/s,881 MB/s,0 kB/s,18.2 kB/s,1.24 GB/s,0 kB/s,881 MB/s
2023-04-18 15:38:15,289 MB/s,0 kB/s,67.2 kB/s,235 MB/s,0 kB/s,300 MB/s,235 MB/s,0 kB/s,60 kB/s,302 MB/s,0 kB/s,235 MB/s
2023-04-18 15:38:20,1.11 GB/s,0 kB/s,0 kB/s,706 MB/s,0 kB/s,1.12 GB/s,706 MB/s,0 kB/s,0 kB/s,1.12 GB/s,0 kB/s,706 MB/s
2023-04-18 15:38:25,189 MB/s,0 kB/s,0 kB/s,222 MB/s,0 kB/s,196 MB/s,222 MB/s,0 kB/s,0 kB/s,198 MB/s,0 kB/s,222 MB/s
2023-04-18 15:38:30,164 MB/s,0 kB/s,113 kB/s,876 MB/s,0 kB/s,173 MB/s,876 MB/s,0 kB/s,582 kB/s,175 MB/s,0 kB/s,876 MB/s
2023-04-18 15:38:35,333 MB/s,0 kB/s,0 kB/s,362 MB/s,0 kB/s,347 MB/s,362 MB/s,0 kB/s,0 kB/s,348 MB/s,0 kB/s,362 MB/s
