"Time","avg-res-time"
2023-04-18 14:34:00,3.61 s
2023-04-18 14:34:05,3.48 s
2023-04-18 14:34:10,3.29 s
2023-04-18 14:34:15,3.12 s
2023-04-18 14:34:20,2.92 s
2023-04-18 14:34:25,2.74 s
2023-04-18 14:34:30,2.52 s
2023-04-18 14:34:35,2.32 s
2023-04-18 14:34:40,2.02 s
2023-04-18 14:34:45,1.82 s
2023-04-18 14:34:50,1.13 s
2023-04-18 14:34:55,882 ms
2023-04-18 14:35:00,930 ms
2023-04-18 14:35:05,862 ms
2023-04-18 14:35:10,859 ms
2023-04-18 14:35:15,918 ms
2023-04-18 14:35:20,1.03 s
2023-04-18 14:35:25,970 ms
2023-04-18 14:35:30,993 ms
2023-04-18 14:35:35,1.00 s
2023-04-18 14:35:40,1.01 s
2023-04-18 14:35:45,1.08 s
2023-04-18 14:35:50,1.07 s
2023-04-18 14:35:55,1.05 s
2023-04-18 14:36:00,1.09 s
2023-04-18 14:36:05,1.11 s
2023-04-18 14:36:10,1.02 s
2023-04-18 14:36:15,893 ms
2023-04-18 14:36:20,862 ms
2023-04-18 14:36:25,785 ms
2023-04-18 14:36:30,698 ms
2023-04-18 14:36:35,660 ms
2023-04-18 14:36:40,532 ms
2023-04-18 14:36:45,359 ms
2023-04-18 14:36:50,367 ms
2023-04-18 14:36:55,415 ms
2023-04-18 14:37:00,401 ms
2023-04-18 14:37:05,384 ms
2023-04-18 14:37:10,424 ms
2023-04-18 14:37:15,481 ms
2023-04-18 14:37:20,485 ms
2023-04-18 14:37:25,577 ms
2023-04-18 14:37:30,563 ms
2023-04-18 14:37:35,559 ms
2023-04-18 14:37:40,545 ms
2023-04-18 14:37:45,487 ms
2023-04-18 14:37:50,507 ms
2023-04-18 14:37:55,509 ms
2023-04-18 14:38:00,436 ms
2023-04-18 14:38:05,405 ms
2023-04-18 14:38:10,387 ms
2023-04-18 14:38:15,418 ms
2023-04-18 14:38:20,395 ms
2023-04-18 14:38:25,402 ms
2023-04-18 14:38:30,413 ms
2023-04-18 14:38:35,410 ms
2023-04-18 14:38:40,438 ms
2023-04-18 14:38:45,384 ms
2023-04-18 14:38:50,380 ms
2023-04-18 14:38:55,397 ms
2023-04-18 14:39:00,376 ms
2023-04-18 14:39:05,337 ms
2023-04-18 14:39:10,312 ms
2023-04-18 14:39:15,226 ms
2023-04-18 14:39:20,227 ms
2023-04-18 14:39:25,215 ms
2023-04-18 14:39:30,230 ms
2023-04-18 14:39:35,214 ms
2023-04-18 14:39:40,201 ms
2023-04-18 14:39:45,200 ms
2023-04-18 14:39:50,184 ms
2023-04-18 14:39:55,294 ms
2023-04-18 14:40:00,383 ms
2023-04-18 14:40:05,392 ms
2023-04-18 14:40:10,490 ms
2023-04-18 14:40:15,501 ms
2023-04-18 14:40:20,633 ms
2023-04-18 14:40:25,627 ms
2023-04-18 14:40:30,627 ms
2023-04-18 14:40:35,740 ms
2023-04-18 14:40:40,740 ms
2023-04-18 14:40:45,739 ms
2023-04-18 14:40:50,679 ms
2023-04-18 14:40:55,564 ms
2023-04-18 14:41:00,657 ms
2023-04-18 14:41:05,575 ms
2023-04-18 14:41:10,593 ms
2023-04-18 14:41:15,503 ms
2023-04-18 14:41:20,496 ms
2023-04-18 14:41:25,484 ms
2023-04-18 14:41:30,438 ms
2023-04-18 14:41:35,436 ms
2023-04-18 14:41:40,413 ms
2023-04-18 14:41:45,393 ms
2023-04-18 14:41:50,410 ms
2023-04-18 14:41:55,322 ms
2023-04-18 14:42:00,312 ms
2023-04-18 14:42:05,314 ms
2023-04-18 14:42:10,363 ms
2023-04-18 14:42:15,355 ms
2023-04-18 14:42:20,354 ms
2023-04-18 14:42:25,325 ms
2023-04-18 14:42:30,381 ms
2023-04-18 14:42:35,391 ms
2023-04-18 14:42:40,406 ms
2023-04-18 14:42:45,393 ms
2023-04-18 14:42:50,428 ms
2023-04-18 14:42:55,447 ms
2023-04-18 14:43:00,406 ms
2023-04-18 14:43:05,360 ms
2023-04-18 14:43:10,425 ms
2023-04-18 14:43:15,449 ms
2023-04-18 14:43:20,448 ms
2023-04-18 14:43:25,462 ms
2023-04-18 14:43:30,501 ms
2023-04-18 14:43:35,478 ms
2023-04-18 14:43:40,476 ms
2023-04-18 14:43:45,453 ms
2023-04-18 14:43:50,443 ms
2023-04-18 14:43:55,502 ms
2023-04-18 14:44:00,500 ms
2023-04-18 14:44:05,502 ms
2023-04-18 14:44:10,500 ms
2023-04-18 14:44:15,517 ms
2023-04-18 14:44:20,443 ms
2023-04-18 14:44:25,459 ms
2023-04-18 14:44:30,464 ms
2023-04-18 14:44:35,558 ms
2023-04-18 14:44:40,543 ms
2023-04-18 14:44:45,548 ms
2023-04-18 14:44:50,475 ms
2023-04-18 14:44:55,503 ms
2023-04-18 14:45:00,437 ms
2023-04-18 14:45:05,407 ms
2023-04-18 14:45:10,537 ms
2023-04-18 14:45:15,1.45 s
2023-04-18 14:45:20,2.04 s
2023-04-18 14:45:25,2.30 s
2023-04-18 14:45:30,2.65 s
2023-04-18 14:45:35,3.09 s
2023-04-18 14:45:40,3.15 s
2023-04-18 14:45:45,3.43 s
2023-04-18 14:45:50,3.56 s
2023-04-18 14:45:55,3.57 s
2023-04-18 14:46:00,3.57 s
2023-04-18 14:46:05,3.63 s
2023-04-18 14:46:10,3.59 s
2023-04-18 14:46:15,3.61 s
2023-04-18 14:46:20,3.53 s
2023-04-18 14:46:25,3.51 s
2023-04-18 14:46:30,3.31 s
2023-04-18 14:46:35,3.41 s
2023-04-18 14:46:40,3.34 s
2023-04-18 14:46:45,3.22 s
2023-04-18 14:46:50,3.16 s
2023-04-18 14:46:55,3.16 s
2023-04-18 14:47:00,3.07 s
2023-04-18 14:47:05,2.98 s
2023-04-18 14:47:10,2.75 s
2023-04-18 14:47:15,2.68 s
2023-04-18 14:47:20,2.41 s
2023-04-18 14:47:25,2.25 s
2023-04-18 14:47:30,1.41 s
2023-04-18 14:47:35,563 ms
2023-04-18 14:47:40,607 ms
2023-04-18 14:47:45,586 ms
2023-04-18 14:47:50,490 ms
2023-04-18 14:47:55,495 ms
2023-04-18 14:48:00,499 ms
2023-04-18 14:48:05,478 ms
2023-04-18 14:48:10,434 ms
2023-04-18 14:48:15,438 ms
2023-04-18 14:48:20,461 ms
2023-04-18 14:48:25,460 ms
2023-04-18 14:48:30,460 ms
2023-04-18 14:48:35,499 ms
2023-04-18 14:48:40,468 ms
2023-04-18 14:48:45,472 ms
2023-04-18 14:48:50,477 ms
2023-04-18 14:48:55,488 ms
2023-04-18 14:49:00,464 ms
2023-04-18 14:49:05,550 ms
2023-04-18 14:49:10,685 ms
2023-04-18 14:49:15,715 ms
2023-04-18 14:49:20,805 ms
2023-04-18 14:49:25,821 ms
2023-04-18 14:49:30,821 ms
2023-04-18 14:49:35,836 ms
2023-04-18 14:49:40,844 ms
2023-04-18 14:49:45,908 ms
2023-04-18 14:49:50,889 ms
2023-04-18 14:49:55,944 ms
2023-04-18 14:50:00,885 ms
2023-04-18 14:50:05,746 ms
2023-04-18 14:50:10,804 ms
2023-04-18 14:50:15,791 ms
2023-04-18 14:50:20,741 ms
2023-04-18 14:50:25,669 ms
2023-04-18 14:50:30,767 ms
2023-04-18 14:50:35,823 ms
2023-04-18 14:50:40,1.12 s
2023-04-18 14:50:45,1.69 s
2023-04-18 14:50:50,2.24 s
2023-04-18 14:50:55,2.45 s
2023-04-18 14:51:00,2.66 s
2023-04-18 14:51:05,2.80 s
2023-04-18 14:51:10,3.01 s
2023-04-18 14:51:15,3.13 s
2023-04-18 14:51:20,3.37 s
2023-04-18 14:51:25,3.42 s
2023-04-18 14:51:30,3.65 s
2023-04-18 14:51:35,3.65 s
2023-04-18 14:51:40,3.64 s
2023-04-18 14:51:45,3.59 s
2023-04-18 14:51:50,3.62 s
2023-04-18 14:51:55,3.66 s
2023-04-18 14:52:00,3.80 s
2023-04-18 14:52:05,3.74 s
2023-04-18 14:52:10,3.75 s
2023-04-18 14:52:15,3.61 s
2023-04-18 14:52:20,3.68 s
2023-04-18 14:52:25,3.58 s
2023-04-18 14:52:30,3.63 s
2023-04-18 14:52:35,3.68 s
2023-04-18 14:52:40,3.63 s
2023-04-18 14:52:45,3.67 s
2023-04-18 14:52:50,3.60 s
2023-04-18 14:52:55,3.44 s
2023-04-18 14:53:00,3.33 s
2023-04-18 14:53:05,3.20 s
2023-04-18 14:53:10,3.05 s
2023-04-18 14:53:15,2.84 s
2023-04-18 14:53:20,2.67 s
2023-04-18 14:53:25,2.39 s
2023-04-18 14:53:30,2.13 s
2023-04-18 14:53:35,1.95 s
2023-04-18 14:53:40,1.57 s
2023-04-18 14:53:45,1.35 s
2023-04-18 14:53:50,1.09 s
2023-04-18 14:53:55,1.11 s
2023-04-18 14:54:00,1.06 s
2023-04-18 14:54:05,1.02 s
2023-04-18 14:54:10,972 ms
2023-04-18 14:54:15,963 ms
2023-04-18 14:54:20,969 ms
2023-04-18 14:54:25,952 ms
2023-04-18 14:54:30,928 ms
2023-04-18 14:54:35,862 ms
2023-04-18 14:54:40,861 ms
2023-04-18 14:54:45,842 ms
2023-04-18 14:54:50,812 ms
2023-04-18 14:54:55,778 ms
2023-04-18 14:55:00,905 ms
2023-04-18 14:55:05,972 ms
2023-04-18 14:55:10,1.04 s
2023-04-18 14:55:15,1.21 s
2023-04-18 14:55:20,1.25 s
2023-04-18 14:55:25,1.27 s
2023-04-18 14:55:30,1.40 s
2023-04-18 14:55:35,1.36 s
2023-04-18 14:55:40,1.38 s
2023-04-18 14:55:45,1.40 s
2023-04-18 14:55:50,1.40 s
2023-04-18 14:55:55,1.24 s
2023-04-18 14:56:00,1.15 s
2023-04-18 14:56:05,1.13 s
2023-04-18 14:56:10,1.00 s
2023-04-18 14:56:15,970 ms
2023-04-18 14:56:20,943 ms
2023-04-18 14:56:25,821 ms
2023-04-18 14:56:30,809 ms
2023-04-18 14:56:35,802 ms
2023-04-18 14:56:40,785 ms
2023-04-18 14:56:45,807 ms
2023-04-18 14:56:50,832 ms
2023-04-18 14:56:55,844 ms
2023-04-18 14:57:00,851 ms
2023-04-18 14:57:05,825 ms
2023-04-18 14:57:10,779 ms
2023-04-18 14:57:15,843 ms
2023-04-18 14:57:20,949 ms
2023-04-18 14:57:25,1.11 s
2023-04-18 14:57:30,1.28 s
2023-04-18 14:57:35,1.81 s
2023-04-18 14:57:40,1.87 s
2023-04-18 14:57:45,1.87 s
2023-04-18 14:57:50,1.81 s
2023-04-18 14:57:55,1.79 s
2023-04-18 14:58:00,1.82 s
2023-04-18 14:58:05,1.84 s
2023-04-18 14:58:10,1.89 s
2023-04-18 14:58:15,1.98 s
2023-04-18 14:58:20,2.07 s
2023-04-18 14:58:25,2.25 s
2023-04-18 14:58:30,2.08 s
2023-04-18 14:58:35,2.23 s
2023-04-18 14:58:40,2.40 s
2023-04-18 14:58:45,2.65 s
2023-04-18 14:58:50,2.82 s
2023-04-18 14:58:55,3.01 s
2023-04-18 14:59:00,3.11 s
2023-04-18 14:59:05,3.13 s
2023-04-18 14:59:10,3.08 s
2023-04-18 14:59:15,3.07 s
2023-04-18 14:59:20,2.99 s
2023-04-18 14:59:25,3.08 s
2023-04-18 14:59:30,3.01 s
2023-04-18 14:59:35,3.14 s
2023-04-18 14:59:40,3.18 s
2023-04-18 14:59:45,3.19 s
2023-04-18 14:59:50,3.05 s
2023-04-18 14:59:55,2.96 s
2023-04-18 15:00:00,2.94 s
2023-04-18 15:00:05,2.93 s
2023-04-18 15:00:10,2.89 s
2023-04-18 15:00:15,2.99 s
2023-04-18 15:00:20,2.92 s
2023-04-18 15:00:25,3.02 s
2023-04-18 15:00:30,3.11 s
2023-04-18 15:00:35,3.01 s
2023-04-18 15:00:40,2.88 s
2023-04-18 15:00:45,2.96 s
2023-04-18 15:00:50,3.11 s
2023-04-18 15:00:55,3.18 s
2023-04-18 15:01:00,3.18 s
2023-04-18 15:01:05,3.09 s
2023-04-18 15:01:10,2.67 s
2023-04-18 15:01:15,2.36 s
2023-04-18 15:01:20,1.85 s
2023-04-18 15:01:25,608 ms
2023-04-18 15:01:30,481 ms
2023-04-18 15:01:35,504 ms
2023-04-18 15:01:40,565 ms
2023-04-18 15:01:45,512 ms
2023-04-18 15:01:50,536 ms
2023-04-18 15:01:55,411 ms
2023-04-18 15:02:00,404 ms
2023-04-18 15:02:05,421 ms
