"Time","Timestamp","iowait","irq","nice","softirq","steal","system","user","Used","Buffer","Cached","Free","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","veth6750e95 transmit","total-req-rate","ok-req-rate","error-req-rate","latency-50-percentile","latency-95-percentile","latency-99-percentile","avg-res-time","TimeToFail"
"2023-04-18 15:49:25","1681807765000","0%","0%","0%","1.40%","0.400%","0.800%","14.2%","339 MiB","27.8 MiB","511 MiB","91.9 MiB","5.01 GB/s","0 kB/s","23.2 kB/s","3.08 GB/s","0 kB/s","5.01 GB/s","3.08 GB/s","0 kB/s","21.6 kB/s","5.01 GB/s","0 kB/s","3.08 GB/s","1.44 req/s","1.44 req/s","0 req/s","365 ms","3.02 s","4.61 s","644 ms","1118979"
"2023-04-18 15:49:30","1681807770000","0%","0%","0%","1.60%","1.40%","2.60%","6.20%","339 MiB","27.8 MiB","511 MiB","91.9 MiB","1.25 GB/s","0 kB/s","11.2 kB/s","860 MB/s","0 kB/s","1.26 GB/s","860 MB/s","0 kB/s","10.8 kB/s","1.26 GB/s","0 kB/s","860 MB/s","1.40 req/s","1.40 req/s","0 req/s","351 ms","2.59 s","4.52 s","612 ms","1113979"
"2023-04-18 15:49:35","1681807775000","0%","0%","0%","5%","5.20%","6.60%","5.40%","339 MiB","27.8 MiB","511 MiB","91.9 MiB","358 MB/s","0 kB/s","0 kB/s","343 MB/s","0 kB/s","371 MB/s","343 MB/s","0 kB/s","0 kB/s","373 MB/s","0 kB/s","343 MB/s","1.42 req/s","1.42 req/s","0 req/s","348 ms","2.56 s","4.51 s","612 ms","1108979"
"2023-04-18 15:49:40","1681807780000","0%","0%","0%","2.60%","2.60%","3.80%","9.00%","339 MiB","27.8 MiB","511 MiB","91.9 MiB","2.46 GB/s","0 kB/s","0 kB/s","1.54 GB/s","0 kB/s","2.46 GB/s","1.54 GB/s","0 kB/s","0 kB/s","2.47 GB/s","0 kB/s","1.54 GB/s","1.44 req/s","1.44 req/s","0 req/s","384 ms","3.35 s","4.67 s","724 ms","1103979"
"2023-04-18 15:49:45","1681807785000","0%","0%","0%","4.00%","2.20%","2.60%","9.20%","339 MiB","27.8 MiB","511 MiB","91.9 MiB","2.05 GB/s","0 kB/s","90.4 kB/s","1.33 GB/s","0 kB/s","2.05 GB/s","1.33 GB/s","0 kB/s","96 kB/s","2.06 GB/s","0 kB/s","1.33 GB/s","1.45 req/s","1.45 req/s","0 req/s","404 ms","3.33 s","4.67 s","752 ms","1098979"
"2023-04-18 15:49:50","1681807790000","0%","0%","0%","2.20%","1.80%","2.80%","5%","339 MiB","27.8 MiB","511 MiB","91.9 MiB","239 MB/s","0 kB/s","12 kB/s","216 MB/s","0 kB/s","246 MB/s","216 MB/s","0 kB/s","8.40 kB/s","248 MB/s","0 kB/s","216 MB/s","1.42 req/s","1.42 req/s","0 req/s","410 ms","3.37 s","4.67 s","748 ms","1093979"
"2023-04-18 15:49:55","1681807795000","0%","0%","0%","0.800%","0.400%","1.00%","5.80%","337 MiB","27.8 MiB","511 MiB","94.0 MiB","1.89 GB/s","0 kB/s","0 kB/s","1.19 GB/s","0 kB/s","1.90 GB/s","1.19 GB/s","0 kB/s","0 kB/s","1.90 GB/s","0 kB/s","1.19 GB/s","1.45 req/s","1.45 req/s","0 req/s","385 ms","3.00 s","4.60 s","687 ms","1088979"
"2023-04-18 15:50:00","1681807800000","0%","0%","0%","4.00%","3.60%","6.00%","8.60%","337 MiB","27.8 MiB","511 MiB","94.0 MiB","1.40 GB/s","0 kB/s","121 kB/s","960 MB/s","0 kB/s","1.41 GB/s","959 MB/s","0 kB/s","120 kB/s","1.41 GB/s","0 kB/s","959 MB/s","1.38 req/s","1.38 req/s","0 req/s","370 ms","3.10 s","4.62 s","681 ms","1083979"
"2023-04-18 15:50:05","1681807805000","0%","0%","0%","1.20%","1.00%","1.40%","12.2%","337 MiB","27.8 MiB","511 MiB","94.1 MiB","4.08 GB/s","0 kB/s","110 kB/s","2.48 GB/s","0 kB/s","4.08 GB/s","2.48 GB/s","0 kB/s","109 kB/s","4.08 GB/s","0 kB/s","2.48 GB/s","1.45 req/s","1.45 req/s","0 req/s","385 ms","3.33 s","4.67 s","745 ms","1078979"
"2023-04-18 15:50:10","1681807810000","0%","0%","0%","1.40%","1.40%","1.60%","8.60%","337 MiB","27.8 MiB","511 MiB","93.9 MiB","2.28 GB/s","0 kB/s","33.6 kB/s","1.98 GB/s","0 kB/s","2.28 GB/s","1.98 GB/s","0 kB/s","30 kB/s","2.28 GB/s","0 kB/s","1.98 GB/s","1.45 req/s","1.45 req/s","0 req/s","385 ms","3.33 s","4.67 s","730 ms","1073979"
