"Time","Used","Buffer","Cached","Free"
2023-04-18 15:33:25,334 MiB,27.8 MiB,511 MiB,96.7 MiB
2023-04-18 15:33:30,334 MiB,27.8 MiB,511 MiB,96.7 MiB
2023-04-18 15:33:35,334 MiB,27.8 MiB,511 MiB,96.7 MiB
2023-04-18 15:33:40,334 MiB,27.8 MiB,511 MiB,96.7 MiB
2023-04-18 15:33:45,338 MiB,27.8 MiB,511 MiB,92.7 MiB
2023-04-18 15:33:50,336 MiB,27.8 MiB,511 MiB,94.7 MiB
2023-04-18 15:33:55,336 MiB,27.8 MiB,511 MiB,94.7 MiB
2023-04-18 15:34:00,336 MiB,27.8 MiB,511 MiB,94.7 MiB
2023-04-18 15:34:05,336 MiB,27.8 MiB,511 MiB,94.7 MiB
2023-04-18 15:34:10,336 MiB,27.8 MiB,511 MiB,94.7 MiB
2023-04-18 15:34:15,336 MiB,27.8 MiB,511 MiB,94.7 MiB
2023-04-18 15:34:20,336 MiB,27.8 MiB,511 MiB,94.7 MiB
2023-04-18 15:34:25,336 MiB,27.8 MiB,511 MiB,94.7 MiB
2023-04-18 15:34:30,336 MiB,27.8 MiB,511 MiB,94.7 MiB
2023-04-18 15:34:35,334 MiB,27.8 MiB,511 MiB,96.6 MiB
2023-04-18 15:34:40,334 MiB,27.8 MiB,511 MiB,96.6 MiB
2023-04-18 15:34:45,334 MiB,27.8 MiB,511 MiB,96.6 MiB
2023-04-18 15:34:50,334 MiB,27.8 MiB,511 MiB,96.6 MiB
2023-04-18 15:34:55,334 MiB,27.8 MiB,511 MiB,96.6 MiB
2023-04-18 15:35:00,334 MiB,27.8 MiB,511 MiB,96.6 MiB
2023-04-18 15:35:05,334 MiB,27.8 MiB,511 MiB,96.6 MiB
2023-04-18 15:35:10,334 MiB,27.8 MiB,511 MiB,96.6 MiB
2023-04-18 15:35:15,334 MiB,27.8 MiB,511 MiB,96.6 MiB
2023-04-18 15:35:20,332 MiB,27.8 MiB,511 MiB,98.8 MiB
2023-04-18 15:35:25,336 MiB,27.8 MiB,511 MiB,94.8 MiB
2023-04-18 15:35:30,336 MiB,27.8 MiB,511 MiB,94.8 MiB
2023-04-18 15:35:35,336 MiB,27.8 MiB,511 MiB,94.8 MiB
2023-04-18 15:35:40,336 MiB,27.8 MiB,511 MiB,94.8 MiB
2023-04-18 15:35:45,336 MiB,27.8 MiB,511 MiB,94.8 MiB
2023-04-18 15:35:50,336 MiB,27.8 MiB,511 MiB,94.8 MiB
2023-04-18 15:35:55,336 MiB,27.8 MiB,511 MiB,94.8 MiB
2023-04-18 15:36:00,340 MiB,27.8 MiB,511 MiB,90.8 MiB
2023-04-18 15:36:05,338 MiB,27.8 MiB,511 MiB,92.8 MiB
2023-04-18 15:36:10,338 MiB,27.8 MiB,511 MiB,92.8 MiB
2023-04-18 15:36:15,338 MiB,27.8 MiB,511 MiB,92.8 MiB
